key,key:course,key:lecture
course-lecture-01,course-01,lecture-01
course-lecture-02,course-01,lecture-02
course-lecture-03,course-01,lecture-14
course-lecture-04,course-01,lecture-15
course-lecture-05,course-02,lecture-07
course-lecture-06,course-03,lecture-08
course-lecture-07,course-04,lecture-01
course-lecture-08,course-05,lecture-01
course-lecture-09,course-06,lecture-09
course-lecture-10,course-07,lecture-10
course-lecture-11,course-08,lecture-11
course-lecture-12,course-09,lecture-12
course-lecture-13,course-10,lecture-01
course-lecture-14,course-11,lecture-01
course-lecture-15,course-12,lecture-10
course-lecture-16,course-13,lecture-01
course-lecture-17,course-14,lecture-01
course-lecture-18,course-15,lecture-17
course-lecture-19,course-16,lecture-11
course-lecture-20,course-17,lecture-12
course-lecture-21,course-18,lecture-07
course-lecture-22,course-19,lecture-04
course-lecture-23,course-20,lecture-14
course-lecture-24,course-21,lecture-01
course-lecture-25,course-22,lecture-01
course-lecture-26,course-23,lecture-11
course-lecture-27,course-24,lecture-12
